UPenn, Claudia Cohen Hall, Cafeteria 1, 28, 181, dining_table
UPenn, College Hall, East Wing, 149, 179, teacher_desk
UPenn, College Hall, East Wing, 153, 179, teacher_desk
UPenn, College Hall, East Wing, 158, 179, teacher_desk
UPenn, College Hall, Central Hall, 106, 178, plant
UPenn, College Hall, Central Hall, 138, 178, plant
UPenn, College Hall, West Pavilion 1, 85, 181, sofa
UPenn, College Hall, West Pavilion 2, 93, 182, student_desk
UPenn, College Hall, West Pavilion 2, 96, 182, student_desk
UPenn, College Hall, Great Hall, 117, 181, plant
UPenn, College Hall, West Pavilion 1, 87, 182, side_table
UPenn, College Hall, Great Hall, 118, 183, dining_table_light
UPenn, College Hall, East Pavilion 1, 145, 184, teacher_desk
UPenn, College Hall, East Pavilion 2, 154, 184, teacher_desk
UPenn, College Hall, East Pavilion 2, 158, 184, bookshelf_wood_books
UPenn, College Hall, West Pavilion 2, 93, 183, plant
UPenn, College Hall, Great Hall, 122, 184, chair_wood
UPenn, College Hall, East Pavilion 1, 144, 185, plant
UPenn, College Hall, Great Hall, 118, 187, dining_table_light
UPenn, College Hall, East Pavilion 2, 154, 188, teacher_desk
UPenn, College Hall, Great Hall, 122, 188, chair_wood
UPenn, College Hall, West Pavilion 1, 90, 189, plant
UPenn, College Hall, Great Hall, 125, 189, plant
UPenn, College Hall, East Pavilion 2, 154, 192, teacher_desk
UPenn, College Hall, East Pavilion 2, 153, 193, plant
UPenn, Williams Hall, Classroom A, 18, 230, blackboard
UPenn, Williams Hall, Classroom B, 60, 234, blackboard_blank
UPenn, Williams Hall, Classroom A, 14, 234, student_desk
UPenn, Williams Hall, Classroom A, 16, 234, student_desk
UPenn, Williams Hall, Classroom A, 18, 234, student_desk
UPenn, Williams Hall, Classroom A, 20, 234, student_desk
UPenn, Williams Hall, Classroom A, 14, 237, student_desk
UPenn, Williams Hall, Classroom A, 16, 237, student_desk
UPenn, Williams Hall, Classroom A, 18, 237, student_desk
UPenn, Williams Hall, Classroom A, 20, 237, student_desk
UPenn, Williams Hall, lobby, 46, 236, plant
UPenn, Williams Hall, Classroom B, 53, 238, student_desk
UPenn, Williams Hall, Classroom B, 55, 238, student_desk
UPenn, Williams Hall, Classroom B, 57, 238, student_desk
UPenn, Williams Hall, Classroom B, 59, 238, student_desk
UPenn, Williams Hall, Classroom B, 61, 238, student_desk
UPenn, Williams Hall, Classroom B, 63, 238, student_desk
UPenn, Williams Hall, Classroom B, 65, 238, student_desk
UPenn, Williams Hall, Classroom A, 14, 240, student_desk
UPenn, Williams Hall, Classroom A, 16, 240, student_desk
UPenn, Williams Hall, Classroom A, 18, 240, student_desk
UPenn, Williams Hall, Classroom A, 20, 240, student_desk
UPenn, Williams Hall, lobby, 42, 242, plant
UPenn, Williams Hall, lobby, 52, 243, plant
UPenn, Williams Hall, lobby, 45, 245, side_table
UPenn, Williams Hall, Office, 21, 250, bookshelf
UPenn, Williams Hall, Classroom C, 62, 249, blackboard
UPenn, Williams Hall, Office, 14, 249, teacher_desk
UPenn, Williams Hall, lobby, 46, 249, sofa
UPenn, Williams Hall, Restroom, 32, 249, toilet
UPenn, Williams Hall, Restroom, 39, 249, sink
UPenn, Williams Hall, lobby, 42, 250, plant
UPenn, Williams Hall, Restroom, 32, 252, toilet
UPenn, Williams Hall, Restroom, 35, 251, bathmat
UPenn, Williams Hall, Restroom, 39, 252, sink
UPenn, Williams Hall, Classroom C, 57, 253, student_desk
UPenn, Williams Hall, Classroom C, 59, 253, student_desk
UPenn, Williams Hall, Classroom C, 61, 253, student_desk
UPenn, Williams Hall, Classroom C, 63, 253, student_desk
UPenn, Williams Hall, Classroom C, 65, 253, student_desk
UPenn, Williams Hall, lobby, 29, 253, plant
UPenn, Williams Hall, lobby, 43, 255, teacher_desk
UPenn, Williams Hall, lobby, 53, 253, plant
UPenn, Williams Hall, Office, 26, 254, plant
